ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F1961,F1962,F1963,F1964,F1965,F1966,F1967,F1968,F1969,F1970,F1971,F1972,F1973,F1974,F1975,F1976,F1977,F1978,F1979,F1980,F1981,F1982,F1983,F1984,F1985,F1986,F1987,F1988,F1989,F1990,F1991,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020,F2021,F2022,Original_Data,Data_Quality,Data_Completeness,Temp_Range,Temp_StdDev,Has_Extreme_Values
33,Cabo Verde,CV,CPV,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.12,0.219,0.47,0.011,-0.322,0.261,-0.081,-0.388,0.939,0.806,-0.153,0.104,0.377,-0.568,-0.568,-0.341,-0.341,0.281,0.641,0.618,0.27,0.514,0.51,0.51,0.103,-0.028,1.006,0.815,0.95,1.313,0.68,0.888,0.508,0.442,1.475,1.598,1.654,1.78,0.794,1.039,1.329,1.478,1.569,1.604,1.171,1.356,0.821,1.302,0.772,0.772,1.372,1.338,1.331,1.083,1.071,1.692,2.0,0.926,1.622,1.622,1.765,1.853,"{'F1961': -0.12, 'F1962': 0.219, 'F1963': 0.47, 'F1964': 0.011, 'F1965': -0.322, 'F1966': 0.261, 'F1967': -0.081, 'F1968': -0.388, 'F1969': 0.939, 'F1970': 0.806, 'F1971': -0.153, 'F1972': 0.104, 'F1973': 0.377, 'F1974': -0.568, 'F1975': nan, 'F1976': -0.341, 'F1977': nan, 'F1978': 0.281, 'F1979': 0.641, 'F1980': 0.618, 'F1981': 0.27, 'F1982': 0.514, 'F1983': 0.51, 'F1984': nan, 'F1985': 0.103, 'F1986': -0.028, 'F1987': 1.006, 'F1988': 0.815, 'F1989': 0.95, 'F1990': 1.313, 'F1991': 0.68, 'F1992': 0.888, 'F1993': 0.508, 'F1994': 0.442, 'F1995': 1.475, 'F1996': 1.598, 'F1997': 1.654, 'F1998': 1.78, 'F1999': 0.794, 'F2000': 1.039, 'F2001': 1.329, 'F2002': 1.478, 'F2003': 1.569, 'F2004': 1.604, 'F2005': 1.171, 'F2006': 1.356, 'F2007': 0.821, 'F2008': 1.302, 'F2009': 0.772, 'F2010': nan, 'F2011': 1.372, 'F2012': 1.338, 'F2013': 1.331, 'F2014': 1.083, 'F2015': 1.071, 'F2016': 1.692, 'F2017': 2.0, 'F2018': 0.926, 'F2019': 1.622, 'F2020': nan, 'F2021': 1.765, 'F2022': 1.853}",Insufficient Data,1.0,2.568,0.682056166861717,False
34,Cambodia,KH,KHM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.035,-0.134,-0.309,0.156,-0.196,0.433,-0.089,-0.124,0.478,0.069,-0.468,0.007,0.36,-0.343,-0.019,-0.485,0.104,0.29,0.479,0.417,0.389,0.15,0.537,0.194,0.348,0.128,0.694,0.415,0.324,0.674,0.597,0.556,0.425,0.496,0.738,0.357,0.393,1.414,0.409,0.296,0.571,0.836,0.711,0.594,0.781,0.767,0.604,0.43,0.453,1.225,0.424,0.875,1.005,0.614,1.081,1.473,1.095,0.787,1.552,1.401,0.912,0.948,"{'F1961': -0.035, 'F1962': -0.134, 'F1963': -0.309, 'F1964': 0.156, 'F1965': -0.196, 'F1966': 0.433, 'F1967': -0.089, 'F1968': -0.124, 'F1969': 0.478, 'F1970': 0.069, 'F1971': -0.468, 'F1972': 0.007, 'F1973': 0.36, 'F1974': -0.343, 'F1975': -0.019, 'F1976': -0.485, 'F1977': 0.104, 'F1978': 0.29, 'F1979': 0.479, 'F1980': 0.417, 'F1981': 0.389, 'F1982': 0.15, 'F1983': 0.537, 'F1984': 0.194, 'F1985': 0.348, 'F1986': 0.128, 'F1987': 0.694, 'F1988': 0.415, 'F1989': 0.324, 'F1990': 0.674, 'F1991': 0.597, 'F1992': 0.556, 'F1993': 0.425, 'F1994': 0.496, 'F1995': 0.738, 'F1996': 0.357, 'F1997': 0.393, 'F1998': 1.414, 'F1999': 0.409, 'F2000': 0.296, 'F2001': 0.571, 'F2002': 0.836, 'F2003': 0.711, 'F2004': 0.594, 'F2005': 0.781, 'F2006': 0.767, 'F2007': 0.604, 'F2008': 0.43, 'F2009': 0.453, 'F2010': 1.225, 'F2011': 0.424, 'F2012': 0.875, 'F2013': 1.005, 'F2014': 0.614, 'F2015': 1.081, 'F2016': 1.473, 'F2017': 1.095, 'F2018': 0.787, 'F2019': 1.552, 'F2020': 1.401, 'F2021': 0.912, 'F2022': 0.948}",Insufficient Data,1.0,2.037,0.4609432951150015,False
35,Cameroon,CM,CMR,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.117,-0.218,0.126,-0.157,-0.11,-0.01,-0.107,-0.122,0.225,0.175,-0.132,0.055,0.566,-0.076,-0.207,-0.163,0.304,0.056,0.4,0.35,0.045,0.061,0.164,0.196,0.025,0.084,0.487,0.29,-0.384,0.651,0.563,-0.205,0.247,0.305,0.28,0.335,0.547,1.082,0.604,0.319,0.198,0.77,0.707,0.779,1.004,0.983,0.626,0.653,1.047,1.181,0.655,0.416,0.707,0.882,1.16,1.213,1.165,1.156,1.45,1.281,1.47,1.044,"{'F1961': -0.117, 'F1962': -0.218, 'F1963': 0.126, 'F1964': -0.157, 'F1965': -0.11, 'F1966': -0.01, 'F1967': -0.107, 'F1968': -0.122, 'F1969': 0.225, 'F1970': 0.175, 'F1971': -0.132, 'F1972': 0.055, 'F1973': 0.566, 'F1974': -0.076, 'F1975': -0.207, 'F1976': -0.163, 'F1977': 0.304, 'F1978': 0.056, 'F1979': 0.4, 'F1980': 0.35, 'F1981': 0.045, 'F1982': 0.061, 'F1983': 0.164, 'F1984': 0.196, 'F1985': 0.025, 'F1986': 0.084, 'F1987': 0.487, 'F1988': 0.29, 'F1989': -0.384, 'F1990': 0.651, 'F1991': 0.563, 'F1992': -0.205, 'F1993': 0.247, 'F1994': 0.305, 'F1995': 0.28, 'F1996': 0.335, 'F1997': 0.547, 'F1998': 1.082, 'F1999': 0.604, 'F2000': 0.319, 'F2001': 0.198, 'F2002': 0.77, 'F2003': 0.707, 'F2004': 0.779, 'F2005': 1.004, 'F2006': 0.983, 'F2007': 0.626, 'F2008': 0.653, 'F2009': 1.047, 'F2010': 1.181, 'F2011': 0.655, 'F2012': 0.416, 'F2013': 0.707, 'F2014': 0.882, 'F2015': 1.16, 'F2016': 1.213, 'F2017': 1.165, 'F2018': 1.156, 'F2019': 1.45, 'F2020': 1.281, 'F2021': 1.47, 'F2022': 1.044}",Insufficient Data,1.0,1.854,0.4825702407752279,False
36,Canada,CA,CAN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.057,-0.118,0.335,-0.299,-0.867,-0.152,-0.452,0.476,-0.003,0.426,-0.023,-1.796,0.306,-0.846,0.225,0.083,1.079,-0.605,-0.214,0.917,1.562,-0.673,0.488,0.337,-0.311,0.011,1.34,1.204,0.017,0.078,0.336,0.1,0.342,0.467,0.938,-0.125,0.426,2.47,1.694,1.291,1.421,0.54,1.24,0.485,1.282,2.343,1.333,0.851,0.539,2.915,1.438,2.144,1.182,0.288,1.231,2.373,1.48,0.477,1.311,1.128,2.515,1.268,"{'F1961': 0.057, 'F1962': -0.118, 'F1963': 0.335, 'F1964': -0.299, 'F1965': -0.867, 'F1966': -0.152, 'F1967': -0.452, 'F1968': 0.476, 'F1969': -0.003, 'F1970': 0.426, 'F1971': -0.023, 'F1972': -1.796, 'F1973': 0.306, 'F1974': -0.846, 'F1975': 0.225, 'F1976': 0.083, 'F1977': 1.079, 'F1978': -0.605, 'F1979': -0.214, 'F1980': 0.917, 'F1981': 1.562, 'F1982': -0.673, 'F1983': 0.488, 'F1984': 0.337, 'F1985': -0.311, 'F1986': 0.011, 'F1987': 1.34, 'F1988': 1.204, 'F1989': 0.017, 'F1990': 0.078, 'F1991': 0.336, 'F1992': 0.1, 'F1993': 0.342, 'F1994': 0.467, 'F1995': 0.938, 'F1996': -0.125, 'F1997': 0.426, 'F1998': 2.47, 'F1999': 1.694, 'F2000': 1.291, 'F2001': 1.421, 'F2002': 0.54, 'F2003': 1.24, 'F2004': 0.485, 'F2005': 1.282, 'F2006': 2.343, 'F2007': 1.333, 'F2008': 0.851, 'F2009': 0.539, 'F2010': 2.915, 'F2011': 1.438, 'F2012': 2.144, 'F2013': 1.182, 'F2014': 0.288, 'F2015': 1.231, 'F2016': 2.373, 'F2017': 1.48, 'F2018': 0.477, 'F2019': 1.311, 'F2020': 1.128, 'F2021': 2.515, 'F2022': 1.268}",Insufficient Data,1.0,4.711,0.9216729496826008,False
37,Cayman Islands,KY,CYM,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.153,-0.153,-0.303,-0.303,-0.303,-0.122,-0.19,-0.341,0.157,-0.185,-0.194,0.197,0.357,0.433,1.023,-0.077,0.255,0.204,0.332,0.614,0.012,0.57,0.384,0.26,0.165,0.225,0.551,0.788,0.785,0.77,0.842,0.549,1.055,1.326,1.355,0.78,1.334,1.265,0.792,0.792,0.792,0.792,0.792,0.792,0.987,0.925,1.077,0.884,0.787,0.989,0.675,0.743,0.899,1.106,1.347,1.284,1.257,0.865,1.237,1.278,0.957,0.974,"{'F1961': nan, 'F1962': -0.153, 'F1963': -0.303, 'F1964': nan, 'F1965': nan, 'F1966': -0.122, 'F1967': -0.19, 'F1968': -0.341, 'F1969': 0.157, 'F1970': -0.185, 'F1971': -0.194, 'F1972': 0.197, 'F1973': 0.357, 'F1974': 0.433, 'F1975': 1.023, 'F1976': -0.077, 'F1977': 0.255, 'F1978': 0.204, 'F1979': 0.332, 'F1980': 0.614, 'F1981': 0.012, 'F1982': 0.57, 'F1983': 0.384, 'F1984': 0.26, 'F1985': 0.165, 'F1986': 0.225, 'F1987': 0.551, 'F1988': 0.788, 'F1989': 0.785, 'F1990': 0.77, 'F1991': 0.842, 'F1992': 0.549, 'F1993': 1.055, 'F1994': 1.326, 'F1995': 1.355, 'F1996': 0.78, 'F1997': 1.334, 'F1998': 1.265, 'F1999': 0.792, 'F2000': nan, 'F2001': nan, 'F2002': nan, 'F2003': nan, 'F2004': nan, 'F2005': 0.987, 'F2006': 0.925, 'F2007': 1.077, 'F2008': 0.884, 'F2009': 0.787, 'F2010': 0.989, 'F2011': 0.675, 'F2012': 0.743, 'F2013': 0.899, 'F2014': 1.106, 'F2015': 1.347, 'F2016': 1.284, 'F2017': 1.257, 'F2018': 0.865, 'F2019': 1.237, 'F2020': 1.278, 'F2021': 0.957, 'F2022': 0.974}",Insufficient Data,1.0,1.696,0.5058629523366982,False
38,Central African Rep.,CF,CAF,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.003,-0.306,0.037,-0.136,-0.05,0.064,-0.229,-0.168,0.143,0.245,-0.055,0.064,0.545,-0.058,-0.049,-0.117,0.203,0.044,0.38,0.439,0.003,0.229,0.425,0.125,0.156,0.478,0.504,0.265,-0.148,0.347,0.612,-0.457,0.329,0.562,0.187,0.047,0.458,1.195,0.502,0.683,0.4,0.745,0.845,0.957,0.983,0.967,0.537,0.682,1.119,1.162,0.763,0.491,0.865,0.697,0.983,1.222,1.224,1.145,1.264,1.14,1.268,1.032,"{'F1961': -0.003, 'F1962': -0.306, 'F1963': 0.037, 'F1964': -0.136, 'F1965': -0.05, 'F1966': 0.064, 'F1967': -0.229, 'F1968': -0.168, 'F1969': 0.143, 'F1970': 0.245, 'F1971': -0.055, 'F1972': 0.064, 'F1973': 0.545, 'F1974': -0.058, 'F1975': -0.049, 'F1976': -0.117, 'F1977': 0.203, 'F1978': 0.044, 'F1979': 0.38, 'F1980': 0.439, 'F1981': 0.003, 'F1982': 0.229, 'F1983': 0.425, 'F1984': 0.125, 'F1985': 0.156, 'F1986': 0.478, 'F1987': 0.504, 'F1988': 0.265, 'F1989': -0.148, 'F1990': 0.347, 'F1991': 0.612, 'F1992': -0.457, 'F1993': 0.329, 'F1994': 0.562, 'F1995': 0.187, 'F1996': 0.047, 'F1997': 0.458, 'F1998': 1.195, 'F1999': 0.502, 'F2000': 0.683, 'F2001': 0.4, 'F2002': 0.745, 'F2003': 0.845, 'F2004': 0.957, 'F2005': 0.983, 'F2006': 0.967, 'F2007': 0.537, 'F2008': 0.682, 'F2009': 1.119, 'F2010': 1.162, 'F2011': 0.763, 'F2012': 0.491, 'F2013': 0.865, 'F2014': 0.697, 'F2015': 0.983, 'F2016': 1.222, 'F2017': 1.224, 'F2018': 1.145, 'F2019': 1.264, 'F2020': 1.14, 'F2021': 1.268, 'F2022': 1.032}",Insufficient Data,1.0,1.725,0.46553302271763003,False
39,Chad,TD,TCD,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.409,-0.26,0.291,-0.176,-0.092,-0.007,-0.377,-0.155,0.553,0.163,-0.241,0.206,0.719,-0.032,-0.172,0.232,-0.048,-0.132,0.459,0.337,0.037,0.306,-0.047,0.508,0.172,0.63,0.344,0.133,-0.271,0.416,0.649,-0.279,0.275,0.381,0.175,0.586,0.485,0.841,0.569,0.281,0.291,0.797,0.838,0.831,1.148,1.368,0.605,0.466,1.236,1.181,0.969,0.553,1.013,0.856,1.294,0.939,1.026,1.527,1.306,1.192,1.146,0.738,"{'F1961': -0.409, 'F1962': -0.26, 'F1963': 0.291, 'F1964': -0.176, 'F1965': -0.092, 'F1966': -0.007, 'F1967': -0.377, 'F1968': -0.155, 'F1969': 0.553, 'F1970': 0.163, 'F1971': -0.241, 'F1972': 0.206, 'F1973': 0.719, 'F1974': -0.032, 'F1975': -0.172, 'F1976': 0.232, 'F1977': -0.048, 'F1978': -0.132, 'F1979': 0.459, 'F1980': 0.337, 'F1981': 0.037, 'F1982': 0.306, 'F1983': -0.047, 'F1984': 0.508, 'F1985': 0.172, 'F1986': 0.63, 'F1987': 0.344, 'F1988': 0.133, 'F1989': -0.271, 'F1990': 0.416, 'F1991': 0.649, 'F1992': -0.279, 'F1993': 0.275, 'F1994': 0.381, 'F1995': 0.175, 'F1996': 0.586, 'F1997': 0.485, 'F1998': 0.841, 'F1999': 0.569, 'F2000': 0.281, 'F2001': 0.291, 'F2002': 0.797, 'F2003': 0.838, 'F2004': 0.831, 'F2005': 1.148, 'F2006': 1.368, 'F2007': 0.605, 'F2008': 0.466, 'F2009': 1.236, 'F2010': 1.181, 'F2011': 0.969, 'F2012': 0.553, 'F2013': 1.013, 'F2014': 0.856, 'F2015': 1.294, 'F2016': 0.939, 'F2017': 1.026, 'F2018': 1.527, 'F2019': 1.306, 'F2020': 1.192, 'F2021': 1.146, 'F2022': 0.738}",Insufficient Data,1.0,1.936,0.5001905718262183,False
40,Chile,CL,CHL,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",-0.301,0.249,0.054,-0.22,0.115,-0.169,-0.142,0.366,0.155,0.205,-0.364,-0.13,-0.058,-0.18,-0.127,-0.262,0.37,0.366,0.286,0.342,0.373,0.397,0.574,-0.122,0.328,0.08,0.616,0.08,0.327,0.214,0.108,-0.116,0.235,0.279,-0.004,0.276,0.716,0.721,0.251,-0.179,0.054,0.14,0.312,0.563,0.275,0.575,-0.219,0.502,0.52,-0.015,0.206,0.699,0.434,0.488,0.848,1.022,0.873,0.538,0.683,0.947,0.877,0.407,"{'F1961': -0.301, 'F1962': 0.249, 'F1963': 0.054, 'F1964': -0.22, 'F1965': 0.115, 'F1966': -0.169, 'F1967': -0.142, 'F1968': 0.366, 'F1969': 0.155, 'F1970': 0.205, 'F1971': -0.364, 'F1972': -0.13, 'F1973': -0.058, 'F1974': -0.18, 'F1975': -0.127, 'F1976': -0.262, 'F1977': 0.37, 'F1978': 0.366, 'F1979': 0.286, 'F1980': 0.342, 'F1981': 0.373, 'F1982': 0.397, 'F1983': 0.574, 'F1984': -0.122, 'F1985': 0.328, 'F1986': 0.08, 'F1987': 0.616, 'F1988': 0.08, 'F1989': 0.327, 'F1990': 0.214, 'F1991': 0.108, 'F1992': -0.116, 'F1993': 0.235, 'F1994': 0.279, 'F1995': -0.004, 'F1996': 0.276, 'F1997': 0.716, 'F1998': 0.721, 'F1999': 0.251, 'F2000': -0.179, 'F2001': 0.054, 'F2002': 0.14, 'F2003': 0.312, 'F2004': 0.563, 'F2005': 0.275, 'F2006': 0.575, 'F2007': -0.219, 'F2008': 0.502, 'F2009': 0.52, 'F2010': -0.015, 'F2011': 0.206, 'F2012': 0.699, 'F2013': 0.434, 'F2014': 0.488, 'F2015': 0.848, 'F2016': 1.022, 'F2017': 0.873, 'F2018': 0.538, 'F2019': 0.683, 'F2020': 0.947, 'F2021': 0.877, 'F2022': 0.407}",Insufficient Data,1.0,1.3860000000000001,0.3384452147772302,False
41,Hong Kong,HK,HKG,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.055,-0.056,0.33,0.117,0.151,0.652,0.044,-0.654,-0.009,-0.398,-0.187,-0.141,0.426,-0.342,0.161,-0.769,0.167,0.016,0.029,0.244,0.37,0.057,-0.193,-0.528,-0.294,0.012,0.831,-0.139,0.257,0.271,0.726,-0.232,0.3,0.338,-0.028,0.028,0.293,0.94,0.964,0.298,0.854,0.961,0.99,0.701,0.733,0.897,1.008,0.415,0.91,0.367,0.333,0.53,0.763,0.703,1.175,0.77,1.338,1.183,1.776,1.882,2.017,1.432,"{'F1961': 0.055, 'F1962': -0.056, 'F1963': 0.33, 'F1964': 0.117, 'F1965': 0.151, 'F1966': 0.652, 'F1967': 0.044, 'F1968': -0.654, 'F1969': -0.009, 'F1970': -0.398, 'F1971': -0.187, 'F1972': -0.141, 'F1973': 0.426, 'F1974': -0.342, 'F1975': 0.161, 'F1976': -0.769, 'F1977': 0.167, 'F1978': 0.016, 'F1979': 0.029, 'F1980': 0.244, 'F1981': 0.37, 'F1982': 0.057, 'F1983': -0.193, 'F1984': -0.528, 'F1985': -0.294, 'F1986': 0.012, 'F1987': 0.831, 'F1988': -0.139, 'F1989': 0.257, 'F1990': 0.271, 'F1991': 0.726, 'F1992': -0.232, 'F1993': 0.3, 'F1994': 0.338, 'F1995': -0.028, 'F1996': 0.028, 'F1997': 0.293, 'F1998': 0.94, 'F1999': 0.964, 'F2000': 0.298, 'F2001': 0.854, 'F2002': 0.961, 'F2003': 0.99, 'F2004': 0.701, 'F2005': 0.733, 'F2006': 0.897, 'F2007': 1.008, 'F2008': 0.415, 'F2009': 0.91, 'F2010': 0.367, 'F2011': 0.333, 'F2012': 0.53, 'F2013': 0.763, 'F2014': 0.703, 'F2015': 1.175, 'F2016': 0.77, 'F2017': 1.338, 'F2018': 1.183, 'F2019': 1.776, 'F2020': 1.882, 'F2021': 2.017, 'F2022': 1.432}",Insufficient Data,1.0,2.786,0.596168362367275,False
42,Macao,MO,MAC,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.055,-0.056,0.33,0.117,0.151,0.652,0.044,-0.654,-0.009,-0.398,-0.187,-0.141,0.426,-0.342,0.161,-0.769,0.167,0.016,0.029,0.244,0.37,0.057,-0.193,-0.528,-0.294,0.012,0.831,-0.139,0.257,0.271,0.726,-0.232,0.3,0.338,-0.028,0.028,0.293,0.94,0.964,0.298,0.854,0.961,0.99,0.701,0.733,0.897,1.008,0.415,0.91,0.367,0.333,0.53,0.763,0.703,1.175,0.77,1.338,1.183,1.776,1.882,2.017,1.432,"{'F1961': 0.055, 'F1962': -0.056, 'F1963': 0.33, 'F1964': 0.117, 'F1965': 0.151, 'F1966': 0.652, 'F1967': 0.044, 'F1968': -0.654, 'F1969': -0.009, 'F1970': -0.398, 'F1971': -0.187, 'F1972': -0.141, 'F1973': 0.426, 'F1974': -0.342, 'F1975': 0.161, 'F1976': -0.769, 'F1977': 0.167, 'F1978': 0.016, 'F1979': 0.029, 'F1980': 0.244, 'F1981': 0.37, 'F1982': 0.057, 'F1983': -0.193, 'F1984': -0.528, 'F1985': -0.294, 'F1986': 0.012, 'F1987': 0.831, 'F1988': -0.139, 'F1989': 0.257, 'F1990': 0.271, 'F1991': 0.726, 'F1992': -0.232, 'F1993': 0.3, 'F1994': 0.338, 'F1995': -0.028, 'F1996': 0.028, 'F1997': 0.293, 'F1998': 0.94, 'F1999': 0.964, 'F2000': 0.298, 'F2001': 0.854, 'F2002': 0.961, 'F2003': 0.99, 'F2004': 0.701, 'F2005': 0.733, 'F2006': 0.897, 'F2007': 1.008, 'F2008': 0.415, 'F2009': 0.91, 'F2010': 0.367, 'F2011': 0.333, 'F2012': 0.53, 'F2013': 0.763, 'F2014': 0.703, 'F2015': 1.175, 'F2016': 0.77, 'F2017': 1.338, 'F2018': 1.183, 'F2019': 1.776, 'F2020': 1.882, 'F2021': 2.017, 'F2022': 1.432}",Insufficient Data,1.0,2.786,0.596168362367275,False
43,China,CN,CHN,"Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980",Degree Celsius,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Climate Change, Climate Indicators, Temperature change. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/ET. Accessed on 2023-03-28.",ECCS,Surface Temperature Change,"Environment, Climate Change, Climate Indicators, Surface Temperature Change",0.259,-0.141,0.289,-0.026,0.078,0.181,-0.282,-0.408,-0.211,-0.3,0.038,0.012,0.412,-0.008,0.278,-0.396,-0.057,0.242,0.299,0.251,0.219,0.379,0.122,-0.148,-0.127,-0.043,0.43,0.398,0.428,0.852,0.52,0.13,0.281,0.733,0.577,0.21,0.733,1.264,1.231,0.572,1.038,1.131,0.822,1.112,1.048,1.232,1.538,1.09,1.336,0.968,0.792,0.626,1.073,1.062,1.297,1.319,1.573,1.361,1.422,1.62,1.701,1.906,"{'F1961': 0.259, 'F1962': -0.141, 'F1963': 0.289, 'F1964': -0.026, 'F1965': 0.078, 'F1966': 0.181, 'F1967': -0.282, 'F1968': -0.408, 'F1969': -0.211, 'F1970': -0.3, 'F1971': 0.038, 'F1972': 0.012, 'F1973': 0.412, 'F1974': -0.008, 'F1975': 0.278, 'F1976': -0.396, 'F1977': -0.057, 'F1978': 0.242, 'F1979': 0.299, 'F1980': 0.251, 'F1981': 0.219, 'F1982': 0.379, 'F1983': 0.122, 'F1984': -0.148, 'F1985': -0.127, 'F1986': -0.043, 'F1987': 0.43, 'F1988': 0.398, 'F1989': 0.428, 'F1990': 0.852, 'F1991': 0.52, 'F1992': 0.13, 'F1993': 0.281, 'F1994': 0.733, 'F1995': 0.577, 'F1996': 0.21, 'F1997': 0.733, 'F1998': 1.264, 'F1999': 1.231, 'F2000': 0.572, 'F2001': 1.038, 'F2002': 1.131, 'F2003': 0.822, 'F2004': 1.112, 'F2005': 1.048, 'F2006': 1.232, 'F2007': 1.538, 'F2008': 1.09, 'F2009': 1.336, 'F2010': 0.968, 'F2011': 0.792, 'F2012': 0.626, 'F2013': 1.073, 'F2014': 1.062, 'F2015': 1.297, 'F2016': 1.319, 'F2017': 1.573, 'F2018': 1.361, 'F2019': 1.422, 'F2020': 1.62, 'F2021': 1.701, 'F2022': 1.906}",Insufficient Data,1.0,2.314,0.6012226261701498,False
